appid,positive_ratings,negative_ratings
99910,961,2391
100980,75,51
102200,257,761
102400,20,91
102500,8523,12011
102600,5371,1801
102810,87,201
102840,1707,3731
102850,199,741
104000,148,511
104020,91,381
104100,53,241
104200,4036,7311
104900,22057,75581
105000,1000,3141
105100,206,2511
105300,293,771
105420,167,491
105450,13759,18011
105600,255600,77971
105700,80,501
105800,558,1401
107100,27887,10981
107200,2315,2021
107300,994,1871
107310,2868,2221
107410,105034,125241
107600,974,601
108110,35,751
108200,1476,2831
108210,177,1191
108500,540,701
108600,17273,26061
108700,376,1581
108710,22962,21631
108800,6724,14321
109200,77,221
109500,116,771
109600,18517,52971
109700,54,321
110400,117,401
110500,54,261
110600,30,261
110610,47,171
110630,23,141
110800,14096,23151
111000,40,321
111010,41,201
111100,363,811
111400,180,2061
111600,514,921
112100,342,761
113020,7237,7491
113200,43227,19231
113400,20028,117791
113420,3938,31421
115100,2635,2101
115110,1271,1551
115120,573,1241
115200,151,1831
115210,180,921
115220,151,731
115320,5411,22441
115800,3542,5551
116100,201,1321
200010,1224,2251
200020,131,1911
200080,68,301
200130,150,441
200150,94,1101
200170,3922,6861
200190,68,401
200210,23414,47281
200230,286,1771
200260,25995,12551
200370,275,1671
200390,173,1701
200410,45,471
200490,68,481
200510,36630,20721
200550,65,1131
200670,54,1011
200710,29539,17571
200900,5120,2301
200960,268,171
200980,32,31
200990,26,41
201000,24,21
201010,60,61
201070,188,1331
201210,384,1481
201230,846,3191
201290,428,1491
201420,671,1301
201480,330,3101
201490,61,3861
201510,290,18741
201570,1429,4621
201790,13321,6821
201810,26727,30111
201870,5912,10551
202130,167,2081
202200,894,3001
202310,541,4501
202370,36,241
202410,107,221
202670,42,71
202690,117,41
202710,564,2121
202730,345,561
202750,3598,14681
202860,36,491
202970,25827,46581
203140,23277,24781
203160,93509,41031
203210,790,791
203290,6413,19021
203350,727,1561
203510,581,931
203560,203,471
203630,1811,2931
203650,663,2061
203680,689,2151
203750,4416,7421
203770,31668,41871
203830,1279,1991
203990,211,241
204030,4384,3641
204060,1764,4891
204100,21581,43741
204120,628,1041
204180,1778,3451
204220,161,611
204240,2950,3741
204300,20770,36781
204340,5353,7021
204360,50273,20631
204390,94,201
204440,112,261
204530,1954,1271
204560,77,2281
204580,23,41
204630,2005,2431
204760,52,1441
204860,188,1011
204880,8642,7121
204940,89,531
204960,218,1921
205020,928,1171
205060,70,511
205070,58,191
205080,68,411
205090,71,621
205100,41756,12691
205190,869,801
205230,2712,4341
205270,29,71
205530,48,431
205550,200,1081
205610,479,2141
205650,1488,3011
205690,229,621
